@relation weka-cell-lbp

@attribute 0 numeric
@attribute ' 1' numeric
@attribute ' 2' numeric
@attribute ' 3' numeric
@attribute ' 4' numeric
@attribute ' 5' numeric
@attribute ' 6' numeric
@attribute ' 7' numeric
@attribute ' 8' numeric
@attribute ' 9' numeric
@attribute ' 10' numeric
@attribute ' 11' numeric
@attribute ' 12' numeric
@attribute ' 13' numeric
@attribute ' 14' numeric
@attribute ' 15' numeric
@attribute ' 16' numeric
@attribute ' 17' numeric
@attribute ' 18' numeric
@attribute ' 19' numeric
@attribute ' 20' numeric
@attribute ' 21' numeric
@attribute ' 22' numeric
@attribute ' 23' numeric
@attribute ' 24' numeric
@attribute ' 25' numeric
@attribute ' 26' numeric
@attribute ' 27' numeric
@attribute ' 28' numeric
@attribute ' 29' numeric
@attribute ' 30' numeric
@attribute ' 31' numeric
@attribute ' 32' numeric
@attribute ' 33' numeric
@attribute ' 34' numeric
@attribute ' 35' numeric
@attribute ' 36' numeric
@attribute ' 37' numeric
@attribute ' 38' numeric
@attribute ' 39' numeric
@attribute ' 40' numeric
@attribute ' 41' numeric
@attribute ' 42' numeric
@attribute ' 43' numeric
@attribute ' 44' numeric
@attribute ' 45' numeric
@attribute ' 46' numeric
@attribute ' 47' numeric
@attribute ' 48' numeric
@attribute ' 49' numeric
@attribute ' 50' numeric
@attribute ' 51' numeric
@attribute ' 52' numeric
@attribute ' 53' numeric
@attribute ' 54' numeric
@attribute ' 55' numeric
@attribute ' 56' numeric
@attribute ' 57' numeric
@attribute ' 58' numeric
@attribute ' 59' numeric
@attribute ' class' {0,1,2,3}

@data
33,4,1,0,4,1,2,0,3,2,2,6,1,1,6,1,3,0,2,3,3,0,2,4,2,0,1,0,0,0,2,4,1,2,2,1,3,6,2,2,1,0,3,1,2,0,1,15,2,1,0,0,1,0,2,1,1,4,29,136,2
55,7,4,3,8,2,2,2,6,2,6,1,3,3,8,2,3,5,3,1,1,2,0,6,8,5,2,1,2,3,1,8,4,2,1,3,4,2,1,7,4,3,3,3,0,3,2,6,3,6,0,4,3,1,5,1,0,5,44,159,1
46,5,4,3,7,2,7,2,1,4,6,6,5,5,3,2,2,2,1,3,0,0,6,0,2,2,1,1,1,1,4,2,5,3,5,1,4,1,2,0,3,2,3,6,1,4,1,4,2,0,1,1,1,1,2,1,1,6,45,134,2
42,2,1,7,7,4,10,5,1,11,7,3,1,2,8,1,1,4,6,0,2,1,2,1,8,7,3,1,9,11,1,1,4,2,5,3,2,4,2,3,2,1,3,5,1,5,1,6,4,0,2,1,0,0,0,3,2,4,54,158,2
48,4,4,5,4,5,3,5,0,1,4,7,2,1,3,3,4,7,8,4,4,1,5,4,9,6,3,2,2,11,1,4,3,5,4,1,2,3,0,6,1,4,5,5,0,2,0,12,4,3,5,5,3,0,4,6,2,12,59,172,1
33,3,6,3,3,2,0,2,0,2,3,6,2,1,0,3,0,5,1,4,1,0,1,3,2,5,1,0,3,4,2,3,7,2,0,2,0,2,1,4,1,3,0,3,3,1,0,2,0,2,1,1,1,2,0,3,2,8,54,118,2
88,2,2,2,8,1,1,6,2,4,3,12,4,8,10,3,4,4,6,4,3,0,6,2,6,4,1,0,1,2,3,3,2,2,0,1,2,1,3,3,1,1,5,8,1,0,2,18,3,0,0,4,0,0,0,0,3,5,50,163,2
42,6,4,4,5,2,2,2,2,7,6,1,2,1,7,3,2,1,4,1,1,0,7,2,1,1,3,2,7,5,1,4,6,1,0,1,3,0,4,2,2,0,4,2,1,0,0,17,3,0,2,3,2,1,2,0,2,4,40,163,2
7,1,1,0,1,2,5,3,0,0,4,2,1,0,0,1,1,3,1,0,0,1,2,2,7,14,0,0,4,2,0,4,5,8,1,0,0,0,1,3,0,0,0,0,1,0,0,1,2,0,4,5,0,1,2,0,1,3,26,167,1
42,3,5,6,4,3,4,2,2,5,3,4,1,3,8,3,7,6,6,3,4,1,4,3,5,8,6,2,2,5,2,0,8,4,2,4,0,4,4,4,1,4,7,4,2,2,1,2,5,1,2,1,2,1,4,6,0,8,59,180,1
28,2,0,2,5,2,0,2,2,8,1,4,1,3,2,3,6,2,0,1,2,0,6,0,0,0,2,2,0,0,4,2,0,1,3,0,3,1,3,3,1,2,6,1,2,2,0,2,3,1,3,0,3,1,2,3,1,7,46,146,1
188,4,10,3,10,2,5,2,4,6,2,3,3,3,8,0,2,3,0,3,0,0,6,3,1,1,0,1,2,4,4,2,2,0,1,1,2,15,9,2,4,3,7,10,3,4,1,2,0,1,2,0,3,1,0,0,0,1,37,161,1
19,6,1,1,3,1,2,3,2,4,2,5,4,4,1,4,4,2,4,3,2,0,3,4,2,1,6,3,4,1,1,5,4,2,2,3,5,3,4,6,3,1,5,3,2,3,1,1,3,3,0,1,2,1,0,2,2,8,51,160,1
65,5,2,6,8,3,4,2,1,11,27,8,1,2,5,8,2,2,7,2,1,2,4,6,3,2,3,3,1,6,1,3,2,4,0,1,2,4,1,5,1,1,16,2,0,2,2,56,13,0,4,5,0,0,0,0,0,10,59,153,1
7,1,0,0,1,0,1,3,2,1,2,0,2,0,4,0,2,1,0,3,1,1,1,1,0,5,2,1,1,0,0,2,0,1,0,1,0,1,1,4,0,0,0,5,1,0,0,2,2,0,2,1,0,1,1,3,0,4,24,144,3
27,3,5,3,4,5,6,2,4,1,3,1,3,0,0,2,3,3,5,4,1,1,2,3,0,4,6,2,1,0,4,6,4,2,1,1,5,7,4,4,1,1,1,5,3,1,2,1,3,2,2,3,2,1,1,2,0,10,55,131,1
77,7,11,6,6,0,2,2,5,2,1,5,5,5,9,2,13,4,11,7,3,4,7,8,6,2,5,3,0,4,5,4,4,1,6,4,6,6,8,4,2,3,2,5,4,2,0,6,1,0,2,2,2,1,2,6,0,10,60,162,1
29,4,1,2,0,1,2,1,0,4,1,0,3,2,5,1,1,2,1,1,2,0,0,1,4,0,2,0,1,1,1,3,1,0,0,0,4,3,11,1,3,1,5,3,1,0,1,5,7,2,1,4,1,2,0,0,1,5,31,116,2
34,2,4,4,8,3,5,7,1,7,10,4,2,2,2,5,2,3,2,6,5,2,2,3,2,10,5,0,0,3,0,3,4,4,2,0,0,4,4,3,0,3,4,6,0,0,1,11,3,2,0,3,1,0,1,4,1,7,48,157,3
22,3,2,2,5,4,2,3,1,9,5,2,3,1,2,3,2,1,0,0,2,1,1,0,0,0,0,0,3,3,1,3,1,2,3,0,4,0,2,2,2,2,2,7,1,1,1,7,1,2,3,0,2,0,2,0,0,6,43,178,1
72,5,3,5,10,6,2,5,5,4,3,5,4,1,8,3,2,7,9,14,3,3,4,4,5,9,7,3,4,3,4,10,1,1,1,1,4,1,8,1,2,0,4,8,0,2,2,2,1,1,2,0,6,5,5,4,2,6,58,131,3
7,0,0,1,1,1,2,0,4,3,0,1,0,2,2,1,2,0,2,3,0,1,2,2,0,0,1,2,2,0,3,2,1,0,1,1,0,0,0,1,0,1,4,3,1,0,0,7,2,0,2,0,1,0,4,3,1,1,27,107,2
6,1,0,3,1,4,6,4,0,4,5,2,0,1,4,3,0,0,1,9,5,1,1,4,2,2,6,1,2,1,1,4,3,0,4,0,1,1,2,5,1,0,2,2,3,0,0,1,3,0,0,2,3,0,1,1,2,2,21,141,2
